School Name,City,State,Region,Zip,Latitude,Longitude,Acceptance Rate,Undergrads,Tuition (In-State) ,Average Cost of Attendence,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
University of Michigan,Ann Arbor,Michigan,Midwestern,48109,42.275921,-83.742769,0.2859,28761,14402,27725,State,52700,93000,50900,69400,128000,182000
Wayne State University,Detroit,Michigan,Midwestern,48202,42.358994,-83.068998,0.8146,16671,12269,22276,State,42800,76100,40100,56200,101000,139000
Western Michigan University (WMU),Kalamazoo,Michigan,Midwestern,49008-5200,42.282194,-85.613759,0.8231,17984,11493,23598,State,42300,73800,40100,52500,103000,135000
Carleton College,Northfield,Minnesota,Midwestern,55057-4001,44.462318,-93.154666,0.2262,2045,50874,64420,Liberal Arts,47500,103000,N/A,69400,141000,N/A
Gustavus Adolphus College,Saint Peter,Minnesota,Midwestern,56082-1498,44.323626,-93.972196,0.648,2248,42840,52768,Liberal Arts,44500,80600,N/A,49300,101000,N/A
Minnesota State University - Mankato,Mankato,Minnesota,Midwestern,56001,44.146712,-93.99945,0.6249,12154,7858,18844,State,43300,74700,39500,53800,95700,140000
St. Cloud State University,Saint Cloud,Minnesota,Midwestern,56301-4498,45.553227,-94.152657,0.8509,10283,7910,18750,State,41800,71400,38700,49400,101000,126000
St. Olaf College,Northfield,Minnesota,Midwestern,55057-1098,44.461529,-93.182039,0.4476,2991,44180,54630,Liberal Arts,45300,86200,41300,61000,120000,185000
University of Minnesota,Minneapolis,Minnesota,Midwestern,55455-0213,44.972851,-93.235464,0.4441,30974,14142,25370,State,46200,84200,49000,63200,112000,148000
Mississippi College,Clinton,Mississippi,Southern,39058,32.335515,-90.329821,0.4947,2943,16740,29759,,35400,60400,N/A,43900,80400,N/A
Mississippi State University (MSU),Mississippi State,Mississippi,Southern,39762,33.454852,-88.790139,0.5567,17371,7780,22818,State,44500,79300,43300,58800,108000,151000
University of Mississippi,University,Mississippi,Southern,38677-1848,34.365529,-89.537434,0.783,18975,7744,23372,State,41400,79700,40400,53500,108000,186000
Missouri State University (MSU),Springfield,Missouri,Midwestern,65897,37.199258,-93.281281,0.8438,17277,7060,20296,State,36100,69500,33300,46900,102000,134000
Park University,Parkville,Missouri,Midwestern,64152-3795,39.189256,-94.679041,0.8456,9356,12130,22013,,44300,64300,37200,45600,86400,113000
University of Missouri - Columbia,Columbia,Missouri,Midwestern,65211-1050,38.94531,-92.328843,0.747,25544,9518,23962,State,41700,81000,43500,57100,111000,156000
University of Missouri - Kansas City (UMKC),Kansas City,Missouri,Midwestern,64110,39.034179,-94.582141,0.6187,7904,7846,21575,State,38900,65800,36300,48100,95800,124000
University of Missouri - Rolla (UMR),#N/A,Missouri,Midwestern,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,State,57100,95800,67600,80400,122000,166000
University of Missouri - St. Louis (UMSL),Saint Louis,Missouri,Midwestern,63121-4400,38.710312,-90.311091,0.7062,7736,9394,22105,State,41400,67100,36800,49600,97600,144000
Montana State University - Billings,Billings,Montana,Western,59101-0298,45.796896,-108.523009,NULL,3536,5826,16142,State,37900,50600,N/A,31800,78500,98900
Montana State University - Bozeman,Bozeman,Montana,Western,59717,45.666726,-111.048812,0.8287,14149,6887,19441,State,46600,77500,40200,58100,111000,151000
University of Montana,Missoula,Montana,Western,59812,46.859312,-113.982912,0.9243,9356,6238,17883,State,37300,71900,37000,51500,96400,138000
University of Nebraska,Lincoln,Nebraska,Midwestern,68588,40.817598,-96.700508,0.7527,20833,8537,22535,State,45700,80900,42200,56600,113000,156000
University of Nebraska at Omaha,Omaha,Nebraska,Midwestern,68182-0225,41.258769,-96.008516,0.8648,12333,7204,17712,State,41500,72600,39500,54400,97400,126000
"University of Nevada, Las Vegas (UNLV)",Las Vegas,Nevada,Western,89154,36.106047,-115.138462,0.8278,24197,7183,17131,State,45200,71600,39000,52400,100000,128000
"University of Nevada, Reno (UNR)",Reno,Nevada,Western,89557,39.543642,-119.815377,0.8281,17786,7142,20702,State,46500,82900,41900,54600,113000,143000
Dartmouth College,Hanover,New Hampshire,Northeastern,03755-3529,43.704115,-72.289949,0.1059,4230,51438,67044,Ivy League,58000,134000,63100,90200,234000,321000
University of New Hampshire (UNH),Durham,New Hampshire,Northeastern,03824-3547,43.135934,-70.932465,0.7586,12653,17624,31168,State,41800,78300,41700,56400,114000,147000
Fairleigh Dickinson University,Teaneck,New Jersey,Northeastern,7666,40.897209,-74.028986,0.7683,3450,37988,46389,,45700,78700,40200,56300,112000,171000
Princeton University,Princeton,New Jersey,Northeastern,08544-0070,40.348732,-74.659365,0.0652,5236,45320,61860,Ivy League,66500,131000,68900,100000,190000,261000
Rider University,Lawrenceville,New Jersey,Northeastern,08648-3099,40.278796,-74.737833,0.7151,3974,39820,53848,,43600,88900,47100,63100,127000,150000
Rutgers University,New Brunswick,New Jersey,Northeastern,08901-1281,40.498769,-74.446251,0.5694,35782,14372,29388,State,50300,91800,48100,65100,128000,176000
Seton Hall University,South Orange,New Jersey,Northeastern,07079-2697,40.742336,-74.246027,0.669,5710,39258,51395,,48900,89200,55700,70600,133000,195000
Stevens Institute of Technology,Hoboken,New Jersey,Northeastern,07030-5991,40.744776,-74.025334,0.3911,3109,48838,62100,Engineering,60600,105000,68700,81900,138000,185000
New Mexico Institute of Mining and Technology (New Mexico Tech),Socorro,New Mexico,Western,87801,34.067041,-106.905211,0.2345,1460,6891,19956,Engineering,51000,93400,N/A,67400,123000,N/A
New Mexico State University,Las Cruces,New Mexico,Western,88003-8001,32.281568,-106.752069,0.5961,11421,6094,17053,State,44300,79500,37400,53800,102000,131000
University of New Mexico (UNM),Albuquerque,New Mexico,Western,87106,35.083868,-106.620155,0.5778,19646,7340,17443,State,41600,81600,41800,59100,105000,141000
Adelphi University,Garden City,New York,Northeastern,11530-0701,40.721439,-73.653321,0.7029,5141,35740,47647,,40600,79200,44200,54800,114000,160000
Binghamton University,Vestal,New York,Northeastern,13850-6000,42.087868,-75.966889,0.4062,13578,9271,24093,State,53600,95900,50900,71200,146000,201000
Colgate University,Hamilton,New York,Northeastern,13346-1398,42.819475,-75.536346,0.2878,2868,51955,64800,Liberal Arts,52800,108000,60000,76700,167000,265000
Columbia University,New York,New York,Northeastern,10027,40.808286,-73.961885,0.0683,8124,55056,69021,Ivy League,59400,107000,50300,71900,161000,241000
Cooper Union,New York,New York,Northeastern,10003-7120,40.728148,-73.991609,NULL,857,43850,59325,Engineering,62200,114000,N/A,80200,142000,N/A
Cornell University,Ithaca,New York,Northeastern,14853,42.4472,-76.483084,0.1409,14471,50953,65464,Ivy League,60300,110000,56800,79800,160000,210000
Dowling College,#N/A,New York,Northeastern,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,41100,82800,46500,60600,117000,142000
Fashion Institute of Technology,New York,New York,Northeastern,10001-5992,40.74731,-73.994781,0.4041,8168,5335,17310,,42800,81000,38800,60500,106000,138000
Fordham University,Bronx,New York,Northeastern,10458,40.859354,-73.882705,0.4522,9096,49073,63109,,47800,99900,48600,65900,142000,198000
Hamilton College,Clinton,New York,Northeastern,13323,43.050245,-75.408195,0.2608,1867,51240,63870,Liberal Arts,49200,83700,N/A,51900,123000,N/A
